id,title,description,priority,acceptance_criteria
CA-REQ-102,Review Results Storage,"The system must persist structured code review results for retrieval and display.",Medium,StoreReviewResult saves full review with findings and score;GetReviewResults returns all reviews for a target;Review results include template findings and score;Results retrievable via GraphQL
CA-REQ-103,Tenant-Filtered Store,"The system must support wrapping the GraphStore with a tenant filter that restricts data access to allowed repository IDs.",Medium,TenantFilteredStore wraps GraphStore with allowed repo ID set;ListRepositories filtered to allowed IDs only;GetRepository returns error if not in allowed set;All downstream queries scoped through filtered store;Injected into request context by RepoAccessMiddleware
CA-REQ-104,Repository Access Middleware,"The API must inject a tenant-filtered store into the request context for non-default tenants.",Medium,RepoAccessMiddleware reads tenant from context;For non-default tenants looks up allowed repo IDs via RepoAccessChecker;Wraps store in TenantFilteredStore;StoreFromContext retrieves per-request store;Default tenant gets unfiltered access
CA-REQ-105,Incremental Re-indexing,"Repository re-indexing must be incremental using content hash comparison to skip unchanged files.",Medium,reindexRepository checks previous content hashes;Only changed files re-indexed;git pull run for remote repos before comparison;Knowledge artifacts marked stale on reindex;Returns updated repository with new lastIndexedAt
CA-REQ-106,Repository Error State,"The system must track repository error states when indexing or cloning fails.",Low,SetRepositoryError marks repo status as error with message;Error state visible in repository list;Error cleared on successful reindex;Error message stored alongside repository record
CA-REQ-107,Platform Stats Query,"The GraphQL API must expose aggregate platform statistics for the dashboard.",Medium,platformStats returns counts of repos files symbols requirements links and imports;Includes totalInputTokens and totalOutputTokens from LLM usage;Used by dashboard for stat cards;Delegated to store Stats method
CA-REQ-108,Version Query,"The GraphQL API must expose the application version, commit SHA, and build date.",Low,version query returns version commitSHA and buildDate;Values set at build time via linker flags;Displayed in admin status panel
CA-REQ-109,Health Query,"The GraphQL API must expose a health query with per-service status.",Low,health query returns overall status and services array;Each service has name and status fields;Used by VS Code extension for server connectivity check
CA-REQ-110,Feature Flags Query,"The GraphQL features query must return 21 boolean flags covering enterprise, knowledge engine, and custom template capabilities.",Medium,10 enterprise flags: multiTenant sso linearConnector jiraConnector githubApp gitlabApp auditLog webhooks customTemplates billing;4 OSS knowledge flags: cliffNotes learningPaths codeTours systemExplain;7 enterprise knowledge flags: multiAudienceKnowledge customKnowledgeTemplates advancedLearningPaths slideGeneration podcastGeneration knowledgeScheduling knowledgeExport;Flags computed from edition env var and service availability
CA-REQ-111,Entitlements Checker,"The system must define feature-to-plan mappings for gating capabilities by subscription tier.",Medium,featurePlans maps feature names to minimum required plan;team plan features include sso connectors webhooks and multi_audience_knowledge;enterprise plan features include audit_log custom_templates helm and knowledge_scheduling;IsAllowed returns Check with Allowed bool and RequiredPlan;Features not in map are always allowed
CA-REQ-112,CLI Serve Command,"The CLI must support a sourcebridge serve command that starts the HTTP API server.",High,Command starts HTTP server on configured port;Connects to SurrealDB and initializes stores;Initializes worker gRPC client;Sets up JWT auth and optional OIDC;Supports --port flag override
CA-REQ-113,CLI Index Command,"The CLI must support a sourcebridge index command that indexes a local repository.",Medium,Command accepts repository path as argument;Indexing extracts symbols and relationships;Prints file symbol module and relation counts;Supports --json and --retry flags
CA-REQ-114,CLI Ask Command,"The CLI must support a sourcebridge ask command that forwards a question to the Python worker.",Medium,Command accepts question as argument;Delegates to uv run python cli_ask.py;Supports --repo and --json flags;Returns AI answer text
CA-REQ-115,CLI Review Command,"The CLI must support a sourcebridge review command that generates structured code reviews.",Low,Command accepts file or directory path;Walks source files and forwards each to worker;Supports --template flag for review type;Supports --repo and --json flags;Exit code reflects review severity
CA-REQ-116,CLI Trace Command,"The CLI must support a sourcebridge trace command that finds requirement-to-code links.",Medium,Command accepts requirement ID as argument;Indexes repo and optionally imports requirements file;Searches symbol doc comments for requirement ID references;Displays found links;Supports --repo --requirements --json --min-confidence flags
CA-REQ-117,CLI Import Command,"The CLI must support a sourcebridge import command that parses markdown or CSV requirements.",Medium,Command accepts file path as argument;Auto-detects format from file extension;Parses requirements and stores in graph store;Supports --repo-id --format --json flags
CA-REQ-118,CLI Config Commands,"The CLI must support sourcebridge config get, list, and validate subcommands.",Low,config get loads and prints full config as JSON;config list is identical to get;config validate loads config and runs Validate method;Non-zero exit code on validation failure
CA-REQ-119,Kubernetes Secrets Management,"Kubernetes secrets must not contain placeholder values in committed manifests.",Medium,Secret templates use documented placeholder format;Real values injected at deploy time or via sealed secrets;CHANGE_ME values never deployed to cluster;Secret rotation documented in runbook
CA-REQ-120,GraphQL Playground Security,"The GraphQL playground must only be available in development mode.",Low,Playground mounted at GET /api/v1/playground only when cfg.IsDevelopment is true;Not accessible in production deployments;CSP headers prevent embedding
CA-REQ-121,Configurable Linking Thresholds,"The system must support configurable confidence thresholds for different display contexts.",Low,min_confidence_ui defaults to 0.5 for web display;min_confidence_codelens defaults to 0.7 for VS Code CodeLens;min_confidence_pr_comment defaults to 0.8 for PR comments;Thresholds configurable via config file
CA-REQ-122,Worker Test Mode,"The worker must support a test_mode flag that replaces LLM and embedding providers with deterministic fakes.",Medium,SOURCEBRIDGE_WORKER_TEST_MODE=true activates fake providers;FakeLLMProvider returns fixture-backed responses keyed by prompt keywords;FakeEmbeddingProvider returns SHA-256-based deterministic vectors;All automated tests run against fakes for reproducibility
